iter	Passed	Remaining
0	80	80691
1	93	46782
2	107	35734
3	123	30744
4	140	27894
5	156	25894
6	170	24170
7	188	23371
8	205	22580
9	222	21993
10	236	21241
11	249	20501
12	261	19838
13	273	19251
14	286	18825
15	299	18443
16	312	18096
17	325	17783
18	338	17496
19	350	17196
20	365	17028
21	377	16800
22	392	16675
23	409	16633
24	424	16540
25	438	16427
26	451	16279
27	465	16162
28	479	16066
29	494	15982
30	509	15917
31	523	15841
32	537	15750
33	551	15668
34	565	15585
35	578	15501
36	593	15439
37	606	15349
38	619	15269
39	632	15191
40	646	15119
41	659	15037
42	672	14963
43	686	14905
44	700	14855
45	715	14835
46	729	14801
47	743	14745
48	758	14723
49	773	14692
50	790	14707
51	808	14733
52	825	14744
53	843	14768
54	858	14743
55	871	14695
56	886	14658
57	900	14618
58	914	14592
59	929	14562
60	943	14520
61	956	14478
62	969	14421
63	982	14372
64	996	14327
65	1008	14277
66	1022	14242
67	1036	14200
68	1049	14161
69	1063	14124
70	1077	14096
71	1091	14071
72	1108	14070
73	1126	14095
74	1144	14111
75	1161	14122
76	1177	14119
77	1193	14106
78	1210	14112
79	1226	14100
80	1243	14109
81	1260	14116
82	1276	14097
83	1292	14092
84	1308	14087
85	1325	14088
86	1342	14092
87	1356	14055
88	1370	14023
89	1384	13999
90	1397	13964
91	1411	13932
92	1426	13909
93	1441	13889
94	1455	13864
95	1469	13839
96	1485	13825
97	1499	13805
98	1516	13805
99	1535	13817
100	1551	13805
101	1566	13787
102	1580	13766
103	1594	13737
104	1609	13718
105	1623	13693
106	1636	13658
107	1649	13627
108	1663	13594
109	1676	13561
110	1690	13539
111	1703	13508
112	1717	13478
113	1732	13464
114	1748	13452
115	1762	13432
116	1777	13412
117	1790	13385
118	1804	13358
119	1818	13332
120	1831	13302
121	1844	13276
122	1857	13246
123	1871	13219
124	1884	13193
125	1898	13171
126	1911	13142
127	1926	13123
128	1940	13104
129	1954	13079
130	1971	13080
131	1989	13085
132	2006	13083
133	2024	13085
134	2043	13090
135	2060	13090
136	2079	13098
137	2093	13079
138	2107	13056
139	2120	13025
140	2135	13006
141	2153	13013
142	2178	13056
143	2195	13052
144	2215	13063
145	2234	13070
146	2252	13069
147	2291	13193
148	2319	13248
149	2339	13256
150	2358	13258
151	2381	13283
152	2397	13271
153	2418	13286
154	2435	13278
155	2450	13259
156	2467	13248
157	2479	13214
158	2492	13184
159	2505	13152
160	2518	13124
161	2531	13093
162	2544	13066
163	2557	13038
164	2570	13008
165	2583	12978
166	2595	12945
167	2608	12916
168	2620	12883
169	2633	12855
170	2646	12827
171	2659	12803
172	2672	12775
173	2684	12745
174	2698	12719
175	2711	12696
176	2727	12680
177	2742	12663
178	2761	12664
179	2776	12649
180	2792	12634
181	2808	12620
182	2823	12603
183	2836	12579
184	2850	12558
185	2864	12538
186	2878	12515
187	2892	12492
188	2905	12467
189	2917	12438
190	2929	12409
191	2941	12380
192	2953	12350
193	2966	12326
194	2979	12299
195	2991	12270
196	3004	12244
197	3016	12219
198	3028	12192
199	3040	12163
200	3053	12137
